,Feature,Importance
350,N0_9 year_1972,0.00030270507481811493
351,state_NEW MEXICO year_2004,0.0003016174385661384
352,average_temp_4 state_NORTH CAROLINA,0.00029998576993476184
353,year_2005 year_2006,0.00029994702079877216
354,average_temp_11 year_2018,0.0002997997654012882
355,state_WEST VIRGINIA year_1979,0.00029974618909202653
356,average_temp_4 year_1993,0.0002994197817568374
357,average_temp_6 state_OKLAHOMA,0.00029805403350319774
358,W0_7 year_1977,0.00029762216419815376
359,state_SOUTH DAKOTA state_WEST VIRGINIA,0.0002972509118858581
360,year_2007 year_2009,0.00029670979664071247
361,N0_8 average_temp_4,0.0002959882920549319
362,D0_5 average_temp_4,0.0002955330362035036
363,W0_8 W1_11,0.0002904828530250243
364,average_temp_9 year_1974,0.0002899051360797525
365,D0_6 N0_11,0.0002887777195610403
366,year_2005 year_2013,0.0002886993846110946
367,W1_11 W2_8,0.0002872878502031652
368,W1_9 year_1975,0.00028625452864303896
369,year_2012 year_2020,0.0002858840514900178
370,year_2006 year_2020,0.000283924473780426
371,W4_6 average_temp_11,0.00028267414415974345
372,state_ARIZONA year_2004,0.0002823961717501171
373,W1_10 state_ARIZONA,0.0002821751846482017
374,year_2005 year_2012,0.00028127328242658734
375,D4_6 year_2007,0.00027994373396767836
376,average_temp_8 year_2011,0.0002792228735367296
377,D3_11 average_temp_9,0.000275819518922808
378,year_2010 year_2018,0.0002736854065784643
379,average_temp_4 year_2012,0.0002725396060527901
380,state_WEST VIRGINIA year_1976,0.0002723958131417723
381,average_temp_7 average_temp_9,0.0002722407919992917
382,state_NORTH DAKOTA year_1976,0.00027076963303154534
383,year_1979 year_1980,0.00027024524809966604
384,average_temp_7 year_1977,0.0002691811366930659
385,average_temp_10 year_1977,0.00026863906879232154
386,D4_9 average_temp_6,0.00026540890926875097
387,average_temp_5 state_DELAWARE,0.00026489525424811504
388,D4_7 average_temp_9,0.000263532189421911
389,average_temp_9 average_temp_11,0.00026322712500743793
390,W1_10 state_MISSISSIPPI,0.00026276928988632945
391,N0_6 W1_11,0.0002624678381052896
392,D4_7 year_1976,0.00026240519668832194
393,D0_11 N0_6,0.0002619028538681452
394,state_NORTH DAKOTA state_SOUTH DAKOTA,0.00026131629383651126
395,year_1973 year_1993,0.00026107865782054054
396,year_2010 year_2015,0.00026050919572457595
397,W3_11 average_temp_9,0.0002591916208407519
398,average_temp_9 year_2000,0.00025902555163399886
399,D2_4 W3_8,0.00025717669423039926
400,average_temp_5 year_2012,0.0002568558626902366
401,D2_8 year_1983,0.0002557030669967933
402,W2_11 average_temp_5,0.0002538012064644974
403,state_ARKANSAS year_2013,0.00025366732279311495
404,average_temp_11 state_NEW YORK,0.0002530204119434649
405,average_temp_11 year_1983,0.00025290503417668865
406,N0_4 N0_6,0.00025273960951469716
407,D2_10 D4_11,0.00025273083380456825
408,W0_8 W2_11,0.00025201684914245127
409,D1_4 W4_8,0.000251413795935905
410,year_2007 year_2016,0.00025131513635166905
411,D4_7 average_temp_6,0.00025042100411736695
412,D4_6 year_1976,0.00024854760777140233
413,D4_9 average_temp_4,0.0002465719493105024
414,year_2012 year_2019,0.0002464900722959393
415,average_temp_8 average_temp_9,0.00024629919370244927
416,W4_4 year_2004,0.00024496249529243883
417,average_temp_5 average_temp_10,0.0002445036688639833
418,average_temp_9 average_temp_10,0.0002443751199408961
419,D0_9 year_1975,0.00024404343175966236
420,year_2012 year_2013,0.0002439596583050084
421,D0_5 W0_9,0.00024394407725628663
422,year_2006 year_2012,0.00024365878479258696
423,W3_10 year_1975,0.00024342259737654943
424,W0_11 year_1979,0.00024294739516111607
425,D0_8 year_1978,0.00024212792734108358
426,N0_7 average_temp_7,0.00024168295588740285
427,average_temp_5 year_1983,0.000240836098277519
428,average_temp_7 state_SOUTH DAKOTA,0.00024068863008113714
429,D2_7 year_1993,0.00023966808063340583
430,average_temp_9 year_1971,0.0002395212306170956
431,W3_11 average_temp_8,0.00023947043433562206
432,year_2010 year_2011,0.00023940643790215492
433,state_ARKANSAS year_2014,0.00023903809427778272
434,W3_10 year_2010,0.00023832243625281858
435,average_temp_9 year_2016,0.00023823556978940308
436,state_COLORADO year_2000,0.00023710383310726745
437,N0_7 state_NORTH DAKOTA,0.00023707246200654932
438,year_2000 year_2005,0.0002368636002135425
439,year_2006 year_2007,0.00023628806155630066
440,year_2004 year_2012,0.00023598603906350714
441,year_2007 year_2020,0.00023469520741489108
442,average_temp_8 year_1983,0.00023373864017817432
443,state_FLORIDA year_1973,0.0002336928581294724
444,year_2004 year_2008,0.00023344367089127627
445,average_temp_9 year_2018,0.00023260016417185874
446,W4_11 average_temp_10,0.0002322912808989968
447,average_temp_7 average_temp_8,0.0002322235540953595
448,W2_10 year_1973,0.00023203188029846173
449,D0_11 N0_7,0.00023079545860514927
450,W0_4 average_temp_5,0.00023076532054500657
451,state_NORTH DAKOTA state_WEST VIRGINIA,0.0002304163689947377
452,average_temp_4 state_NEW MEXICO,0.00022965178654666164
453,W2_8 state_CALIFORNIA,0.00022919190392734162
454,W1_9 W2_10,0.00022907658298408376
455,year_1974 year_1979,0.00022718477047411597
456,state_NEW MEXICO year_2014,0.00022712271331032645
457,N0_7 W0_4,0.00022705244753953063
458,average_temp_8 state_NORTH CAROLINA,0.00022677321196470834
459,state_ILLINOIS year_2015,0.00022645086865755385
460,average_temp_8 state_OKLAHOMA,0.00022628513061328793
461,average_temp_9 state_SOUTH CAROLINA,0.00022606194007987538
462,average_temp_9 year_1972,0.00022578415195737957
463,D0_7 year_1975,0.00022577177685119995
464,year_2007 year_2013,0.0002256990156176742
465,W3_4 state_SOUTH DAKOTA,0.00022520971850444423
466,W0_9 year_1976,0.00022490591138646599
467,state_CALIFORNIA state_ILLINOIS,0.00022392877181968455
468,state_IDAHO year_2015,0.00022383958500416095
469,state_NORTH CAROLINA state_SOUTH DAKOTA,0.000223662923784289
470,N0_7 year_1977,0.0002224540394172174
471,average_temp_5 year_2010,0.00022243260375895462
472,W0_4 average_temp_9,0.00022192638326000712
473,W1_8 year_2014,0.00022181157759004543
474,average_temp_4 state_ARIZONA,0.00022173418137481349
475,D1_8 W2_11,0.0002216625863370739
476,average_temp_4 state_ARKANSAS,0.00022150982840219983
477,state_ARIZONA year_1994,0.00022105297215383273
478,W4_8 state_ARIZONA,0.0002204318747997375
479,W0_4 average_temp_7,0.0002203614957500614
480,state_SOUTH DAKOTA year_1973,0.00021990414270132278
481,N0_4 N0_11,0.00021965893742660023
482,state_OKLAHOMA state_TEXAS,0.00021956575155074136
483,D4_7 year_1974,0.00021946479889395975
484,D0_5 average_temp_6,0.00021874498390618362
485,N0_11 average_temp_8,0.00021847468424797826
486,W0_8 state_SOUTH DAKOTA,0.00021775213277338415
487,N0_8 N0_11,0.00021749425006542005
488,N0_8 N0_10,0.0002174226940012939
489,N0_7 W1_4,0.0002168875846080637
490,D0_6 D4_9,0.0002164930589634357
491,year_1979 year_1993,0.0002160582239900572
492,state_ARIZONA year_2012,0.00021501835390364424
493,D4_5 W1_9,0.00021470749251044157
494,N0_6 year_1976,0.00021460082421984001
495,year_1974 year_1978,0.00021410003025968812
496,W0_11 year_1973,0.00021296310938720281
497,D1_7 year_1970,0.00021257505888080307
498,average_temp_4 state_GEORGIA,0.00021220197973017752
499,state_VIRGINIA state_WEST VIRGINIA,0.00021166772798701788
500,W1_4 W3_7,0.00021162026718282286
501,D4_6 year_1975,0.00021154795932096473
502,average_temp_6 average_temp_10,0.0002107682793893508
503,W4_8 state_COLORADO,0.00020999093139815593
504,state_ILLINOIS year_2004,0.0002098439483493238
505,N0_4 W0_11,0.000209690008928209
506,year_2001 year_2005,0.0002096590297032291
507,W3_10 average_temp_4,0.0002092401045462937
508,N0_4 N0_9,0.00020922734192623007
509,state_NORTH CAROLINA year_1978,0.000209063013771849
510,year_2007 year_2014,0.00020823339472244673
511,D1_5 W2_9,0.00020748894197056153
512,D1_9 W2_9,0.00020745737966956123
513,W2_10 year_1975,0.00020687771539105326
514,state_ILLINOIS year_2009,0.00020671265122002458
515,W2_8 year_1975,0.00020659270292408747
516,N0_9 year_1980,0.0002065780128222872
517,W0_4 W4_4,0.0002065452506243139
518,average_temp_8 year_1993,0.00020653526523555993
519,average_temp_6 state_COLORADO,0.00020652539144738242
520,W1_9 year_1979,0.0002062165506895661
521,D0_8 average_temp_9,0.00020589766125695544
522,state_NORTH CAROLINA year_1980,0.00020550519861054444
523,W3_10 year_2005,0.00020506571461553088
524,D4_9 average_temp_5,0.00020495968390670856
525,W3_10 W4_9,0.00020488817366435188
526,W4_7 average_temp_5,0.00020337914078909192
527,average_temp_4 average_temp_8,0.00020277378557673236
528,state_WEST VIRGINIA year_1977,0.00020263601698207204
529,W1_7 average_temp_5,0.0002025653848467901
530,D4_7 average_temp_8,0.0002022088358856743
531,state_FLORIDA year_1977,0.00020195206347116892
532,year_1980 year_1988,0.00020150540281733986
533,state_NORTH CAROLINA year_1972,0.00020117850474267617
534,average_temp_7 state_OKLAHOMA,0.00020104905126912904
535,D0_9 N0_7,0.00020103106716518645
536,W4_10 state_ARKANSAS,0.0002009874815488164
537,average_temp_4 state_VIRGINIA,0.00020009879912775367
538,average_temp_6 average_temp_7,0.00019997619681021882
539,W0_10 year_1989,0.00019985479204367144
540,state_SOUTH DAKOTA state_VIRGINIA,0.00019922720184389485
541,D1_8 year_1974,0.00019916173987744704
542,year_1979 year_1982,0.00019878213034028397
543,W1_8 W3_6,0.00019874151181950128
544,N0_8 W2_11,0.00019847951038834378
545,average_temp_8 average_temp_11,0.00019828470989964928
546,D3_7 year_1978,0.00019824562201197814
547,average_temp_7 state_WEST VIRGINIA,0.00019713200731637625
548,W1_8 W2_6,0.00019667549772783147
549,W0_10 year_2007,0.00019609665754409715
550,average_temp_4 state_OREGON,0.0001959768871048947
551,average_temp_9 year_1995,0.00019585521160032197
552,average_temp_7 state_NEW YORK,0.00019563007834833617
553,W2_4 W4_7,0.00019492919241067202
554,D0_7 W2_5,0.00019431356282707034
555,D0_10 N0_11,0.00019416081216689146
556,N0_9 year_1976,0.00019410413772553395
557,D4_11 year_2006,0.00019377732311406901
558,D4_7 W1_9,0.0001934961585973075
559,D4_7 W0_5,0.00019314650434854226
560,W4_5 average_temp_11,0.00019314455329266775
561,D1_10 state_GEORGIA,0.00019297106869673754
562,W0_5 year_1977,0.0001927917798154302
563,D1_4 D1_5,0.000192691230829094
564,W0_11 average_temp_11,0.0001924032837307205
565,average_temp_11 year_2011,0.0001913651401151209
566,D0_5 D4_7,0.00019065699141261242
567,average_temp_9 year_2010,0.00019046164265622983
568,year_1974 year_1988,0.00019040871069051591
569,average_temp_4 year_2020,0.00019030316593429992
